time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-1861840800,20.64,20.64,20.64,20.64,20.65261938754286,47.49594948601136,55.782484287281584,NaN,NaN,NaN,NaN,NaN,NaN,20.22846774703297
-1830391200,20.65,20.65,20.65,20.65,20.65251666646275,49.432925521521646,53.45076297569568,NaN,NaN,NaN,NaN,NaN,NaN,16.542395924887366
-1767232800,20.72,20.72,20.72,20.72,20.655163071699505,60.81663351819559,51.9321636638722,NaN,NaN,NaN,NaN,NaN,NaN,20.35482508654221
-1735696800,20.72,20.72,20.72,20.72,20.65770569633874,60.81663351819559,52.88092078376803,NaN,NaN,NaN,NaN,60.81663351819559,NaN,23.404768415866087
-1703988000,20.72,20.72,20.72,20.72,20.66014861020781,60.81663351819558,51.798287616309416,NaN,NaN,NaN,NaN,NaN,NaN,25.84472307932518
-1672538400,20.72,20.72,20.72,20.72,20.66249572353299,60.81663351819558,50.71565444885079,NaN,NaN,NaN,NaN,NaN,NaN,27.796686810092464
-1577930400,20.68,20.68,20.68,20.68,20.663182165747383,50.42599103727557,51.09891484541015,NaN,NaN,NaN,NaN,NaN,NaN,23.91569966245016
-1546135200,20.69,20.69,20.58,20.69,20.664233845521995,52.69890876939994,51.03719013261944,NaN,NaN,NaN,NaN,NaN,NaN,30.03492882599218
-1530673200,20.69,20.69,20.69,20.69,20.665244282952504,52.69890876939994,51.28185902633071,NaN,NaN,NaN,NaN,NaN,NaN,34.93031215682579
-1514685600,20.84,20.84,20.84,20.84,20.672097448326916,74.71090060752189,52.799353939402046,NaN,NaN,NaN,NaN,NaN,NaN,33.768583987654
-1498964400,20.84,20.84,20.84,20.84,20.67868186211802,74.71090060752189,56.47664082000983,NaN,NaN,NaN,NaN,74.71090060752189,NaN,32.839201452316566
-1483236000,20.75,20.75,20.75,20.75,20.68147865183888,55.203112040120274,57.298430322431656,NaN,NaN,NaN,NaN,NaN,NaN,29.1401778138988
-1467514800,20.75,20.75,20.75,20.75,20.684165763531475,55.203112040120274,57.3816566026919,NaN,NaN,NaN,NaN,NaN,NaN,26.180958903164587
-1451700000,20.78,20.78,20.78,20.78,20.687923968883183,59.64811159888416,58.24966818218281,NaN,NaN,NaN,NaN,NaN,NaN,21.487346391019706
-1435978800,20.78,20.78,20.78,20.78,20.69153479363286,59.648111598884164,59.11767976167373,NaN,NaN,NaN,NaN,NaN,NaN,17.732456381303805
-1420077600,20.75,20.75,20.75,20.75,20.69382754682373,52.99310774031858,59.3719784915878,NaN,NaN,NaN,NaN,NaN,NaN,17.526422801135418
-1404442800,20.75,20.75,20.75,20.75,20.69603038812476,52.99310774031858,58.81315522173944,NaN,NaN,NaN,NaN,NaN,NaN,17.36159593700071
-1388541600,20.72,20.72,20.72,20.72,20.696970372904183,46.43601137128227,57.78596792553134,NaN,NaN,NaN,NaN,NaN,NaN,21.02823860089231
-1372906800,20.72,20.72,20.72,20.72,20.69787349553539,46.43601137128227,56.75878062932325,NaN,NaN,NaN,NaN,NaN,NaN,23.961552732005583
-1356832800,20.75,20.75,20.75,20.75,20.699917672181062,53.6884857561016,56.2496272177451,NaN,NaN,NaN,NaN,NaN,NaN,19.179358808818968
-1341370800,20.75,20.75,20.75,20.75,20.701881685036707,53.6884857561016,56.4826625548041,NaN,NaN,NaN,NaN,NaN,NaN,15.353603670269672
-1325383200,20.78,20.78,20.78,20.78,20.7049451483686,60.46358453045262,57.03728225202216,NaN,NaN,NaN,NaN,NaN,NaN,18.09570290844717
-1309662000,20.78,20.78,20.78,20.78,20.707888475883557,60.46358453045262,57.5919019492402,NaN,NaN,NaN,NaN,NaN,NaN,20.28938229898917
-1293847200,20.72,20.72,20.72,20.72,20.708363437613613,44.124121989920816,55.407132047982984,NaN,NaN,NaN,NaN,NaN,NaN,22.71250853744382
-1278212400,20.72,20.72,20.72,20.72,20.708819773393472,44.124121989920816,53.222362146725764,NaN,NaN,NaN,NaN,NaN,NaN,24.651009528207535
-1262311200,20.69,20.69,20.69,20.69,20.708081743064316,37.680429958829535,51.970741998062145,NaN,NaN,NaN,NaN,NaN,NaN,29.867917527600014
-1246676400,20.69,20.69,20.69,20.69,20.70737265510101,37.680429958829535,50.719121849398526,NaN,NaN,37.680429958829535,NaN,NaN,NaN,34.04144392711399
-1230775200,22.59,22.59,22.59,22.59,20.781201178430383,95.09513511023141,53.251052100209044,NaN,NaN,NaN,NaN,NaN,NaN,46.150117831893205
-1215140400,22.59,22.59,22.59,22.59,20.85213446555076,95.09513511023141,55.78298235101956,NaN,NaN,NaN,NaN,95.09513511023141,NaN,55.83705695571657
-1199239200,20.78,20.78,20.78,20.78,20.84930566298014,45.05209416037446,55.215767095309275,NaN,NaN,NaN,NaN,NaN,NaN,48.687404264140916
-1183518000,20.78,20.78,20.78,20.78,20.846587793843664,45.05209416037446,54.64855183959897,NaN,NaN,NaN,NaN,NaN,NaN,42.96768211088039
-1167530400,26.47,26.47,26.47,26.47,21.06711376271254,82.23904149451803,57.205911134115816,NaN,NaN,NaN,NaN,NaN,NaN,48.20741499218428
-1151809200,26.47,26.47,26.47,26.47,21.278991654370873,82.23904149451803,59.76327042863266,NaN,NaN,NaN,NaN,NaN,NaN,52.39920129722739
-1136080800,35,35,35,35,21.817070413022996,92.22391122415232,62.515800819207705,NaN,NaN,NaN,NaN,NaN,NaN,59.66951355601571
-1120359600,35,35,35,35,22.334048043884838,92.22391122415232,65.26833120978276,NaN,NaN,NaN,NaN,NaN,NaN,65.48576336304637
-1104544800,35,35,35,35,22.830752042163866,92.22391122415232,67.53692597361845,NaN,NaN,NaN,NaN,NaN,NaN,70.1387632086709
-1088910000,35,35,35,35,23.307977452275086,92.22391122415232,69.80552073745415,NaN,NaN,NaN,NaN,NaN,NaN,73.86116308517052
-1073008800,35,35,35,35,23.76648814042116,92.22391122415232,73.24121996847067,NaN,NaN,NaN,NaN,NaN,NaN,76.8390829863702
-1057287600,35,35,35,35,24.207018017267387,92.22391122415232,76.67691919948722,NaN,NaN,NaN,NaN,NaN,NaN,79.22141890732995
-1041386400,35,35,35,35,24.630272212668665,92.22391122415232,80.57288214701028,NaN,NaN,NaN,NaN,NaN,NaN,81.12728764409776
-1025751600,35,35,35,35,25.036928204328717,92.22391122415232,84.46884509453332,NaN,NaN,NaN,NaN,NaN,NaN,82.651982633512
-1009677600,35,35,35,35,25.42763690219818,92.22391122415232,84.2637576740991,NaN,NaN,NaN,NaN,NaN,NaN,83.87173862504339
-994215600,35,35,35,35,25.80302369034727,92.22391122415232,84.05867025366489,NaN,NaN,NaN,NaN,92.22391122415232,NaN,84.8475434182685
-978228000,34.69,34.69,34.69,34.69,26.151532565235613,86.48592717977422,87.01822975505057,NaN,NaN,NaN,NaN,NaN,NaN,78.9486258269868
-962506800,34.69,34.69,34.69,34.69,26.48637442542245,86.48592717977422,89.97778925643627,NaN,NaN,NaN,NaN,NaN,NaN,74.22949175396143
-946778400,34.06,34.06,34.06,34.06,26.783379349915688,74.55494601450158,89.42892529357796,NaN,NaN,NaN,NaN,NaN,NaN,59.490266866559224
-931057200,34.06,34.06,34.06,34.06,27.068737022468014,74.55494601450158,88.88006133071964,NaN,NaN,NaN,NaN,NaN,NaN,47.69888695663746
-915156000,34.06,34.06,34.06,34.06,27.342904198057504,74.55494601450158,87.61799238717315,NaN,NaN,NaN,NaN,NaN,NaN,38.26578302870004
-899521200,34.06,34.06,34.06,34.06,27.606319719702306,74.55494601450158,86.35592344362668,NaN,NaN,NaN,NaN,NaN,NaN,30.719299886350115
-883620000,34.06,34.06,34.06,34.06,27.85940522089045,74.55494601450158,85.0938545000802,NaN,NaN,NaN,NaN,NaN,NaN,24.68211337247017
-867985200,34.06,34.06,34.06,34.06,28.102565800463374,74.55494601450158,83.83178555653373,NaN,NaN,74.55494601450158,NaN,NaN,NaN,19.852364161366214
-852087600,34.06,34.06,34.06,34.06,28.33619067103344,74.5549460145016,82.56971661298724,NaN,NaN,NaN,NaN,NaN,NaN,15.988564792483048
-836449200,34.06,34.06,34.06,34.06,28.560653781973304,74.5549460145016,81.30764766944075,NaN,NaN,NaN,NaN,NaN,NaN,12.897525297376516
-820378800,34.06,34.06,34.06,34.06,28.77631441797435,74.5549460145016,80.04557872589429,NaN,NaN,NaN,NaN,NaN,NaN,10.424693701291291
-804654000,34.06,34.06,34.06,34.06,28.98351777413222,74.5549460145016,78.7835097823478,NaN,NaN,NaN,NaN,NaN,NaN,8.44642842442311
-788929200,35,35,35,35,29.219458253578015,84.74892452019769,78.24958216063676,NaN,NaN,NaN,NaN,NaN,NaN,23.40540958237698
-773204400,35,35,35,35,29.446146165202407,84.74892452019769,77.7156545389257,NaN,NaN,NaN,NaN,NaN,NaN,35.37259450874007
