time,open,high,low,close,EMA,EMA,EMA,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1716564000,2337.435,2337.435,2334.725,2336.325,2339.0208445140715,2338.7120712337096,2339.2854034888687,22.10216973710378,39.073720551046854,45.42515239863586,NaN,NaN,NaN,NaN,NaN,NaN
1716564300,2336.325,2336.755,2333.765,2335,2338.932474304971,2338.3746102124633,2339.1173484500896,28.00289256796945,34.70167540144614,44.50719803772568,NaN,NaN,NaN,NaN,NaN,NaN
1716564600,2335,2336.065,2334.085,2335.355,2338.8538484960704,2338.1001001931486,2338.9698053736156,32.723470832661995,36.80662352952173,44.22421510123731,NaN,NaN,NaN,NaN,NaN,NaN
1716564900,2335.355,2335.355,2332.44,2333.97,2338.7465111664865,2337.724636539226,2338.7737345746505,39.6417379598351,32.2938996425778,43.71974261055129,NaN,NaN,NaN,NaN,NaN,NaN
1716565200,2333.97,2335.16,2333.505,2334.575,2338.654829602388,2337.438305944751,2338.609078316821,45.176351661573584,36.09666392100361,42.959855129428185,NaN,NaN,NaN,NaN,NaN,NaN
1716565500,2334.575,2334.61,2332.55,2334.34,2338.5599981825553,2337.1566417679555,2338.441663480867,51.09103452354441,35.242371202952,42.54757284041473,NaN,NaN,NaN,NaN,NaN,NaN
1716565800,2334.34,2334.995,2333.235,2333.51,2338.44900921151,2336.8251288799597,2338.24826491299,52.22850719489551,32.247340602860305,41.60976530999545,NaN,NaN,32.247340602860305,NaN,NaN,NaN
1716566100,2333.51,2335.005,2333.095,2334.64,2338.365294723345,2336.6264807999632,2338.106764328167,53.52452463135782,39.965202993633206,41.261165079464654,NaN,NaN,NaN,NaN,NaN,NaN
1716566400,2334.64,2334.905,2332.86,2333.185,2338.2514420920625,2336.3136189090574,2337.9137539623566,55.268862322104106,34.364719428803724,40.240816398294285,NaN,NaN,NaN,NaN,NaN,NaN
1716566700,2333.185,2334.47,2332.93,2333.255,2338.1416301779514,2336.0355626445976,2337.731057728539,56.66433247470114,34.85273338249954,39.3083310904511,NaN,NaN,NaN,NaN,NaN,NaN
1716567000,2333.255,2335.03,2333.18,2334.77,2338.0675284157987,2335.9205114950887,2337.6149378176156,49.932851144817455,44.73423919100556,38.81656333174501,NaN,NaN,NaN,NaN,NaN,NaN
1716567300,2334.77,2336.42,2334.73,2336.37,2338.030220098968,2335.9613740864443,2337.5661167267285,45.8914272744931,53.08463189593408,39.13995036995285,NaN,NaN,NaN,NaN,NaN,NaN
1716567600,2336.37,2336.8,2335.78,2336.785,2338.0028526242654,2336.0362491694946,2337.5354846982295,44.45418874189193,55.0423059249116,39.405792440526106,NaN,NaN,NaN,NaN,55.0423059249116,NaN
1716567900,2336.785,2337.015,2335.575,2335.745,2337.9532294896662,2336.0097719722676,2337.4652696120243,44.320414062765046,49.31267620097911,39.844200276369655,NaN,NaN,NaN,NaN,NaN,NaN
1716568200,2335.745,2336.605,2335.215,2335.955,2337.909312358025,2336.0047927020614,2337.4060433527293,39.96236326434304,50.469445029047804,40.65818059622687,NaN,NaN,NaN,NaN,NaN,NaN
1716568500,2335.955,2336.415,2334.765,2335.165,2337.848997800706,2335.928447910965,2337.318159299681,32.062109207151124,46.074318129145745,41.47051221963399,NaN,NaN,NaN,NaN,NaN,NaN
1716568800,2335.165,2335.495,2334.165,2334.24,2337.7696791677236,2335.7749526463317,2337.197447170282,30.484501826155242,41.38550154493102,41.797574935020364,NaN,NaN,NaN,NaN,NaN,NaN
1716569100,2334.24,2335.47,2334.175,2334.825,2337.704960944257,2335.688593314847,2337.1044100263493,29.222415921358536,45.297369296668535,42.726394196026845,NaN,NaN,NaN,NaN,NaN,NaN
1716569400,2334.825,2334.905,2333.68,2334.51,2337.634742022405,2335.5814484680427,2337.0026684566888,31.775692048367628,43.55812546895344,43.259355735166125,NaN,NaN,NaN,NaN,NaN,NaN
1716569700,2334.51,2335.1,2334.315,2334.325,2337.562000439495,2335.4672258800388,2336.897661850544,30.873614586753295,42.49342393087646,43.77728807287501,NaN,NaN,NaN,NaN,NaN,NaN
1716570000,2334.325,2334.525,2333.86,2334.07,2337.4852531770885,2335.3402053454897,2336.7867731505225,33.52992762552635,40.960060056340005,44.39962517669499,NaN,NaN,NaN,NaN,NaN,NaN
